Mode,Image,Run,Time
Serial,bear.jpg,1,35.280530773
Parallel,bear.jpg,1,8.386144499
Serial,bear.jpg,2,28.082420149
Parallel,bear.jpg,2,8.314558256
Serial,bear.jpg,3,33.887716983
Parallel,bear.jpg,3,8.517057003
Serial,bear.jpg,4,31.883775251
Parallel,bear.jpg,4,9.259086394
Serial,pokemon.jpg,1,34.412526405
Parallel,pokemon.jpg,1,8.778828582
Serial,pokemon.jpg,2,38.544925316
Parallel,pokemon.jpg,2,9.191769663
Serial,pokemon.jpg,3,30.559393116
Parallel,pokemon.jpg,3,8.346816999
Serial,pokemon.jpg,4,32.963542741
Parallel,pokemon.jpg,4,8.944580196
Serial,mountain.jpg,1,690.7873494
Parallel,mountain.jpg,1,218.722793595
Serial,mountain.jpg,2,728.955914575
Parallel,mountain.jpg,2,219.614846222
Serial,mountain.jpg,3,694.600219303
Parallel,mountain.jpg,3,225.408048406
Serial,mountain.jpg,4,701.672164493
Parallel,mountain.jpg,4,226.223943019
Serial,shoe.jpg,1,434.371421127
Parallel,shoe.jpg,1,94.318594589
Serial,shoe.jpg,2,416.431144931
Parallel,shoe.jpg,2,84.803502337
Serial,shoe.jpg,3,443.944268094
Parallel,shoe.jpg,3,86.644398065
Serial,shoe.jpg,4,431.680264708
Parallel,shoe.jpg,4,91.360038046
Serial,car.jpg,1,54.712188215
Parallel,car.jpg,1,16.689620473
Serial,car.jpg,2,60.791252222
Parallel,car.jpg,2,16.511557852
Serial,car.jpg,3,58.829080766
Parallel,car.jpg,3,16.561172678
Serial,car.jpg,4,63.283288991
Parallel,car.jpg,4,16.32281609
Serial,tinfoil.jpg,1,59.44119606
Parallel,tinfoil.jpg,1,16.027218312
Serial,tinfoil.jpg,2,53.394574443
Parallel,tinfoil.jpg,2,17.521477886
Serial,tinfoil.jpg,3,58.525525938
Parallel,tinfoil.jpg,3,16.218149147
Serial,tinfoil.jpg,4,60.973640119
Parallel,tinfoil.jpg,4,15.728389702
